1. Gender ○ Male   ○ Female,2. Grade ○ Freshman   ○ Sophomore   ○ Junior   ○ Senior,3. Hometown Type ○ Rural Area   ○ Town & Township   ○ County & Prefecture-level City   ○ Provincial Capital & Municipality Directly Under the Central Government,"4. Monthly Living Expenses ○ ≤ 1,000 RMB   ○ 1,001 - 2,000 RMB   ○ 2,001 - 3,000 RMB   ○ ≥ 3,001 RMB",5. Have you adopted any green and low-carbon lifestyles?,6. Do you think low-carbon living is closely related to your daily life?,7. Will low-carbon living become the mainstream lifestyle in the future?,8. Do you think low-carbon living can improve your quality of life?,Enthusiasm for Low-carbon Behavior
1,1.0,2.0,1.8151698150980697,1.0,2.0,1.0,4,0
1,1.0,3.0,0.7576026558777961,1.0,1.0,3.0,2,0
1,4.0,2.0,0.7576026558777961,1.0,1.0,1.0,1,0
1,1.0,1.0,1.8151698150980697,1.0,1.0,1.0,4,0
2,3.0,4.0,-0.2999645033424777,1.0,3.0,4.0,1,0
1,4.0,2.0,-0.2999645033424777,1.0,1.0,2.0,2,0
1,2.0,3.0,-0.2999645033424777,1.0,3.0,1.0,4,0
1,2.0,1.0,1.8151698150980697,1.0,2.0,4.0,1,0
1,3.0,3.0,0.7576026558777961,1.0,1.0,1.0,1,0
1,3.0,3.0,1.8151698150980697,1.0,2.0,3.0,1,0
1,3.0,3.0,0.7576026558777961,1.0,1.0,1.0,3,0
2,4.0,2.0,0.7576026558777961,1.0,1.0,3.0,1,0
2,2.0,1.0,0.7576026558777961,1.0,2.0,4.0,1,0
1,3.0,2.0,0.7576026558777961,1.0,1.0,2.0,1,0
2,2.0,2.0,-0.2999645033424777,1.0,1.0,4.0,3,0
2,3.0,3.0,0.7576026558777961,1.0,4.0,1.0,4,0
1,3.0,2.0,0.7576026558777961,1.0,1.0,2.0,1,0
2,3.0,2.0,1.8151698150980697,1.0,2.0,4.0,1,0
1,2.0,2.0,1.8151698150980697,1.0,1.0,3.0,1,0
1,2.0,3.0,-1.3575316625627514,1.0,1.0,4.0,1,0
1,2.0,4.0,-0.2999645033424777,1.0,1.0,4.0,3,0
1,2.0,1.0,0.7576026558777961,1.0,4.0,2.0,2,0
1,3.0,3.0,-0.2999645033424777,1.0,3.0,1.0,3,0
1,3.0,3.0,-0.2999645033424777,1.0,3.0,1.0,1,0
1,3.0,2.0,-1.3575316625627514,1.0,1.0,2.0,1,0
2,4.0,3.0,1.8151698150980697,1.0,2.0,1.0,2,0
1,1.0,3.0,-1.3575316625627514,1.0,1.0,1.0,2,0
1,4.0,3.0,-1.3575316625627514,1.0,2.0,1.0,1,0
2,2.0,4.0,-1.3575316625627514,1.0,4.0,3.0,1,0
2,2.0,4.0,-0.2999645033424777,1.0,2.0,1.0,3,0
2,1.0,3.0,0.7576026558777961,1.0,2.0,3.0,2,0
1,2.0,1.0,-1.3575316625627514,1.0,3.0,2.0,2,0
2,3.0,1.0,0.7576026558777961,1.0,3.0,2.0,2,0
1,2.0,3.0,-1.3575316625627514,1.0,1.0,1.0,2,0
1,3.0,4.0,-0.2999645033424777,1.0,1.0,1.0,1,0
2,1.0,3.0,1.8151698150980697,1.0,1.0,1.0,4,0
2,4.0,1.0,-0.2999645033424777,1.0,2.0,1.0,1,0
1,2.0,1.0,-0.2999645033424777,1.0,4.0,2.0,3,0
2,1.0,4.0,-0.2999645033424777,1.0,2.0,1.0,2,0
2,4.0,4.0,-0.2999645033424777,1.0,1.0,1.0,2,0
2,4.0,2.0,1.8151698150980697,1.0,2.0,3.0,1,0
2,3.0,2.0,-1.3575316625627514,1.0,2.0,1.0,2,0
2,1.0,2.0,0.7576026558777961,1.0,2.0,1.0,1,0
1,2.0,4.0,-0.2999645033424777,1.0,2.0,1.0,2,0
2,2.0,2.0,-0.2999645033424777,1.0,2.0,2.0,3,0
1,2.0,4.0,0.7576026558777961,1.0,4.0,1.0,1,0
1,3.0,1.0,1.8151698150980697,1.0,1.0,4.0,3,0
1,3.0,1.0,-0.2999645033424777,1.0,1.0,2.0,2,0
2,4.0,2.0,0.7576026558777961,1.0,2.0,1.0,3,0
2,2.0,4.0,0.7576026558777961,1.0,4.0,1.0,1,0
1,1.0,2.0,0.7576026558777961,1.0,1.0,2.0,2,0
2,2.0,2.0,0.7576026558777961,1.0,4.0,4.0,2,0
1,2.0,3.0,0.7576026558777961,1.0,2.0,1.0,1,0
1,2.0,2.0,-0.2999645033424777,1.0,1.0,2.0,2,0
1,3.0,4.0,-0.2999645033424777,1.0,1.0,3.0,1,0
1,2.0,3.0,-1.3575316625627514,1.0,3.0,1.0,2,0
2,4.0,1.0,-0.2999645033424777,1.0,1.0,2.0,1,0
2,3.0,3.0,1.8151698150980697,1.0,1.0,4.0,2,0
2,4.0,2.0,1.8151698150980697,1.0,1.0,1.0,4,0
1,2.0,4.0,0.7576026558777961,1.0,1.0,1.0,1,0
2,2.0,3.0,-0.2999645033424777,1.0,1.0,1.0,4,0
2,1.0,3.0,0.7576026558777961,1.0,2.0,2.0,1,0
1,3.0,4.0,-1.3575316625627514,1.0,2.0,4.0,1,0
1,4.0,4.0,-0.2999645033424777,1.0,1.0,3.0,3,0
2,3.0,2.0,-1.3575316625627514,1.0,1.0,2.0,4,0
1,3.0,3.0,0.7576026558777961,1.0,2.0,2.0,3,0
2,1.0,1.0,-1.3575316625627514,1.0,1.0,3.0,4,0
1,3.0,4.0,0.7576026558777961,1.0,2.0,1.0,3,0
2,3.0,2.0,0.7576026558777961,1.0,1.0,2.0,1,0
1,1.0,1.0,-0.2999645033424777,1.0,1.0,2.0,1,0
2,1.0,2.0,0.7576026558777961,1.0,1.0,1.0,1,0
1,1.0,3.0,-0.2999645033424777,1.0,3.0,1.0,2,0
2,2.0,2.0,-1.3575316625627514,1.0,1.0,2.0,1,0
2,2.0,2.0,-0.2999645033424777,1.0,2.0,3.0,2,0
2,1.0,1.0,-0.2999645033424777,1.0,2.0,1.0,3,0
1,4.0,1.0,0.7576026558777961,1.0,3.0,2.0,2,0
2,4.0,2.0,0.7576026558777961,1.0,1.0,1.0,1,0
1,2.0,3.0,1.8151698150980697,1.0,1.0,2.0,3,0
2,3.0,4.0,-1.3575316625627514,1.0,1.0,3.0,4,0
1,1.0,2.0,-0.2999645033424777,1.0,1.0,1.0,1,0
1,1.0,1.0,-1.3575316625627514,1.0,3.0,1.0,2,0
1,2.0,3.0,-1.3575316625627514,1.0,2.0,1.0,1,0
1,1.0,2.0,0.7576026558777961,1.0,2.0,4.0,2,0
1,3.0,2.0,-0.2999645033424777,1.0,1.0,2.0,2,0
2,2.0,3.0,1.8151698150980697,1.0,4.0,3.0,2,0
1,2.0,3.0,-1.3575316625627514,1.0,1.0,4.0,2,0
2,4.0,2.0,1.8151698150980697,1.0,2.0,2.0,3,0
2,2.0,2.0,-0.2999645033424777,1.0,2.0,1.0,1,0
2,3.0,2.0,-0.2999645033424777,1.0,2.0,2.0,4,0
2,3.0,2.0,0.7576026558777961,1.0,1.0,2.0,3,0
2,3.0,4.0,-0.2999645033424777,1.0,1.0,1.0,2,0
1,3.0,2.0,-0.2999645033424777,1.0,2.0,2.0,3,0
1,1.0,3.0,-0.2999645033424777,1.0,4.0,3.0,1,0
2,2.0,4.0,-0.2999645033424777,1.0,1.0,1.0,1,0
2,2.0,4.0,-0.2999645033424777,1.0,1.0,4.0,1,0
2,2.0,3.0,-1.3575316625627514,1.0,1.0,4.0,2,0
2,3.0,2.0,0.7576026558777961,1.0,4.0,1.0,1,0
1,2.0,2.0,-1.3575316625627514,1.0,2.0,1.0,1,0
2,2.0,1.0,-0.2999645033424777,1.0,2.0,2.0,1,0
1,3.0,2.0,-1.3575316625627514,1.0,2.0,4.0,2,0
2,2.0,2.0,-1.3575316625627514,1.0,1.0,3.0,2,0
2,4.0,1.0,1.8151698150980697,1.0,1.0,1.0,2,0
1,4.0,3.0,0.7576026558777961,1.0,1.0,2.0,3,0
2,1.0,2.0,-0.2999645033424777,1.0,2.0,1.0,2,0
1,3.0,1.0,1.8151698150980697,1.0,4.0,2.0,1,0
2,2.0,3.0,-0.2999645033424777,1.0,2.0,1.0,4,0
1,2.0,1.0,-0.2999645033424777,1.0,2.0,3.0,1,0
1,3.0,1.0,-0.2999645033424777,1.0,4.0,2.0,2,0
2,1.0,3.0,1.8151698150980697,1.0,1.0,3.0,1,0
1,2.0,4.0,-0.2999645033424777,1.0,1.0,1.0,1,0
2,4.0,2.0,0.7576026558777961,1.0,3.0,2.0,1,0
1,3.0,1.0,-1.3575316625627514,1.0,2.0,2.0,4,0
1,4.0,1.0,-1.3575316625627514,1.0,2.0,1.0,1,0
2,2.0,1.0,-0.2999645033424777,1.0,1.0,2.0,1,0
2,4.0,1.0,0.7576026558777961,1.0,4.0,3.0,1,0
2,1.0,1.0,0.7576026558777961,1.0,2.0,2.0,1,0
1,2.0,2.0,0.7576026558777961,1.0,3.0,1.0,3,0
2,2.0,1.0,1.8151698150980697,1.0,1.0,3.0,2,0
2,2.0,2.0,-0.2999645033424777,1.0,1.0,2.0,1,0
2,1.0,2.0,0.7576026558777961,1.0,2.0,3.0,2,0
2,1.0,4.0,0.7576026558777961,1.0,1.0,2.0,2,0
1,3.0,3.0,1.8151698150980697,1.0,2.0,3.0,3,0
2,3.0,2.0,1.8151698150980697,1.0,3.0,4.0,1,0
1,3.0,4.0,-0.2999645033424777,1.0,1.0,1.0,3,0
1,3.0,2.0,-0.2999645033424777,1.0,2.0,2.0,3,0
2,4.0,3.0,-0.2999645033424777,1.0,2.0,3.0,2,0
1,2.0,2.0,-0.2999645033424777,1.0,2.0,1.0,1,0
1,4.0,2.0,-0.2999645033424777,1.0,4.0,2.0,3,0
2,3.0,2.0,0.7576026558777961,1.0,1.0,1.0,1,0
2,1.0,4.0,-0.2999645033424777,1.0,1.0,2.0,3,0
1,3.0,2.0,-0.2999645033424777,1.0,2.0,1.0,1,0
1,1.0,4.0,1.8151698150980697,1.0,1.0,3.0,3,0
1,3.0,2.0,-1.3575316625627514,1.0,2.0,3.0,1,0
1,4.0,1.0,-1.3575316625627514,1.0,3.0,2.0,1,0
2,1.0,2.0,-0.2999645033424777,1.0,2.0,3.0,2,0
2,3.0,4.0,0.7576026558777961,1.0,1.0,1.0,3,0
1,3.0,3.0,0.7576026558777961,1.0,2.0,2.0,2,0
1,1.0,1.0,-1.3575316625627514,1.0,1.0,1.0,1,0
1,2.0,1.0,-1.3575316625627514,1.0,1.0,1.0,1,0
2,4.0,2.0,-0.2999645033424777,1.0,3.0,1.0,2,0
1,3.0,1.0,1.8151698150980697,1.0,1.0,2.0,4,0
2,3.0,3.0,-0.2999645033424777,1.0,1.0,1.0,2,0
1,2.0,3.0,0.7576026558777961,1.0,1.0,2.0,1,0
1,1.0,3.0,-1.3575316625627514,1.0,2.0,2.0,2,0
2,3.0,2.0,1.8151698150980697,1.0,3.0,2.0,3,0
1,3.0,2.0,-0.2999645033424777,1.0,4.0,1.0,1,0
2,2.0,1.0,0.7576026558777961,1.0,4.0,2.0,3,0
2,2.0,1.0,-0.2999645033424777,1.0,4.0,1.0,2,0
1,3.0,1.0,1.8151698150980697,1.0,2.0,1.0,1,0
2,2.0,4.0,-1.3575316625627514,1.0,1.0,4.0,2,0
1,2.0,1.0,-0.2999645033424777,1.0,2.0,2.0,2,0
1,2.0,2.0,1.8151698150980697,1.0,2.0,1.0,2,0
2,3.0,2.0,-0.2999645033424777,1.0,1.0,3.0,4,0
1,2.0,2.0,-0.2999645033424777,1.0,2.0,2.0,2,0
2,3.0,2.0,-1.3575316625627514,1.0,1.0,2.0,1,0
1,2.0,2.0,-0.2999645033424777,1.0,1.0,1.0,2,0
2,2.0,4.0,-0.2999645033424777,1.0,1.0,1.0,1,0
2,1.0,3.0,0.7576026558777961,1.0,2.0,2.0,1,0
1,4.0,1.0,0.7576026558777961,1.0,1.0,3.0,1,0
2,3.0,2.0,-0.2999645033424777,1.0,1.0,4.0,4,0
1,4.0,2.0,-0.2999645033424777,1.0,2.0,2.0,4,0
2,1.0,4.0,-1.3575316625627514,1.0,1.0,4.0,2,0
2,2.0,2.0,1.8151698150980697,1.0,2.0,1.0,2,0
1,3.0,2.0,-0.2999645033424777,1.0,1.0,2.0,2,0
2,4.0,3.0,-1.3575316625627514,1.0,2.0,1.0,1,0
1,1.0,1.0,1.8151698150980697,1.0,2.0,1.0,2,0
1,2.0,4.0,0.7576026558777961,1.0,3.0,1.0,4,0
1,3.0,3.0,-1.3575316625627514,1.0,3.0,1.0,1,0
2,2.0,2.0,0.7576026558777961,1.0,2.0,4.0,2,0
1,1.0,1.0,-1.3575316625627514,1.0,2.0,2.0,3,0
1,2.0,3.0,0.7576026558777961,1.0,1.0,2.0,2,0
1,2.0,2.0,1.8151698150980697,1.0,1.0,2.0,2,0
1,2.0,2.0,-0.2999645033424777,2.0,1.0,1.0,2,0
2,2.0,2.0,-0.2999645033424777,1.0,1.0,1.0,1,0
